Cambios Morfológicos Detectados
==================================================

parts                → part
delighted            → delight
endeavoured          → endeavour
promises             → promise
rejected             → reject
offers               → offer
saw                  → see
allowed              → allow
gestures             → gesture
expressed            → express
owning               → own
possessed            → possess
perceived            → perceive
endeavoured          → endeavour
interests            → interest
conveyed             → convey
looked               → look
ensuing              → ensue
days                 → day
preparations         → preparation
going                → go
warmed               → warm
letters              → letter
received             → receive
found                → find
means                → mean
thoughts             → thought
understood           → understand
thanked              → thank
terms                → term
intended             → intend
services             → service
deplored             → deplore
copies               → copy
letters              → letter
found                → find
means                → mean
implements           → implement
letters              → letter
hands                → hand
declined             → decline
related              → relate
seized               → seize
recommended          → recommend
won                  → win
married              → marry
spoke                → speak
terms                → term
born                 → bear
spurned              → spurn
reduced              → reduce
instructed           → instruct
tenets               → tenet
taught               → teach
higher               → high
powers               → power
forbidden            → forbid
followers            → follower
died                 → die
lessons              → lesson
sickened             → sicken
returning            → return
immured              → immure
walls                → wall
allowed              → allow
amusements           → amusement
ideas                → idea
marrying             → marry
remaining            → remain
women                → woman
allowed              → allow
enchanting           → enchant
fixed                → fix
quitted              → quit
leagues              → league
procured             → procure
passports            → passport
communicated         → communicate
aided                → aid
quitting             → quit
concealed            → conceal
conducted            → conduct
fugitives            → fugitive
decided              → decide
passing              → pass
dominions            → dominion
resolved             → resolve
renewed              → renew
united               → unite
remained             → remain
enjoyed              → enjoy
exhibited            → exhibit
simplest             → simple
conversed            → converse
means                → mean
looks                → look
sang                 → sing
airs                 → air
allowed              → allow
encouraged           → encourage
hopes                → hope
lovers               → lover
formed               → form
plans                → plan
loathed              → loathe
united               → unite
feared               → fear
knew                 → know
inhabited            → inhabit
revolved             → revolve
plans                → plan
enabled              → enable
longer               → long
departed             → depart
plans                → plan
facilitated          → facilitate
arrived              → arrive
enraged              → enrage
spared               → spare
pains                → pain
discovered           → discover
thrown               → throw
reached              → reach
roused               → rouse
lay                  → lie
enjoyed              → enjoy
loved                → love
arranged             → arrange
quitting             → quit
hastened             → hasten
delivered            → deliver
hoping               → hope
remained             → remain
confined             → confine
months               → month
took                 → take
deprived             → deprive
condemned            → condemn
found                → find
discovered           → discover
learned              → learn
endured              → endure
discovering          → discover
reduced              → reduce
quitted              → quit
sending              → send
said                 → say
events               → event
preyed               → prey
rendered             → render
saw                  → see
endured              → endure
gloried              → glory
misfortunes          → misfortune
infused              → infuse
reached              → reach
deprived             → deprive
commanded            → command
outraged             → outrage
attempted            → attempt
left                 → leave
reiterating          → reiterate
days                 → day
entered              → enter
told                 → tell
divulged             → divulge
delivered            → deliver
hired                → hire
hours                → hour
intended             → intend
greater              → great
arrived              → arrive
resolved             → resolve
feelings             → feeling
papers               → paper
fell                 → fall
hands                → hand
heard                → hear
learnt               → learn
resided              → reside
hesitated            → hesitate
formed               → form
taking               → take
jewels               → jewel
belonged             → belong
quitted              → quit
understood           → understand
departed             → depart
arrived              → arrive
leagues              → league
fell                 → fall
nursed               → nurse
died                 → die
left                 → leave
unacquainted         → unacquainte
customs              → custom
fell                 → fall
hands                → hand
mentioned            → mention
bound                → bind
lived                → live
took                 → take
cottagers            → cottager
impressed            → impress
learned              → learn
views                → view
developed            → develop
virtues              → virtue
vices                → vice
looked               → look
inciting             → incite
qualities            → quality
called               → call
displayed            → display
giving               → give
occurred             → occur
collected            → collect
brought              → bring
protectors           → protector
found                → find
containing           → contain
articles             → article
books                → book
seized               → seize
returned             → return
books                → book
written              → write
elements             → element
acquired             → acquire
consisted            → consist
lost                 → lose
lives                → live
sorrows              → sorrow
treasures            → treasure
gave                 → give
studied              → study
exercised            → exercise
histories            → history
friends              → friend
employed             → employ
occupations          → occupation
books                → book
produced             → produce
images               → image
feelings             → feeling
raised               → raise
sunk                 → sink
lowest               → low
sorrows              → sorrow
affecting            → affect
opinions             → opinion
canvassed            → canvass
lights               → light
thrown               → throw
subjects             → subject
found                → find
ending               → end
manners              → manner
described            → describe
combined             → combine
sentiments           → sentiment
feelings             → feeling
accorded             → accord
protectors           → protector
wants                → want
thought              → think
beheld               → behold
imagined             → imagine
contained            → contain
sank                 → sink
disquisitions        → disquisition
calculated           → calculate
merits               → merit
inclined             → incline
opinions             → opinion
wept                 → weep
understanding        → understand
applied              → apply
feelings             → feeling
found                → find
beings               → being
concerning           → concern
sympathised          → sympathise
understood           → understand
unformed             → unforme
related              → relate
questions            → question
recurred             → recur
lives                → life
possessed            → possess
contained            → contain
histories            → history
founders             → founder
republics            → republic
learned              → learn
imaginations         → imagination
taught               → teach
thoughts             → thought
elevated             → elevate
reflections          → reflection
heroes               → hero
ages                 → age
things               → thing
surpassed            → surpass
kingdoms             → kingdom
extents              → extent
rivers               → river
seas                 → sea
towns                → town
assemblages          → assemblage
men                  → man
protectors           → protector
studied              → study
developed            → develop
scenes               → scene
men                  → man
concerned            → concern
affairs              → affair
governing            → govern
massacring           → massacre
species              → specie
felt                 → feel
greatest             → great
understood           → understand
terms                → term
applied              → apply
induced              → induce
feelings             → feeling
led                  → lead
lawgivers            → lawgiver
lives                → life
protectors           → protector
caused               → cause
impressions          → impression
burning              → burn
imbued               → imbue
sensations           → sensation
lost                 → lose
excited              → excite
deeper               → deep
emotions             → emotion
volumes              → volume
fallen               → fall
hands                → hand
moved                → move
warring              → war
creatures            → creature
referred             → refer
situations           → situation
struck               → strike
united               → unite
hands                → hand
guarded              → guard
allowed              → allow
beings               → being
times                → time
considered           → consider
viewed               → view
protectors           → protector
rose                 → rise
strengthened         → strengthen
confirmed            → confirm
feelings             → feeling
discovered           → discover
papers               → paper
taken                → take
neglected            → neglect
characters           → character
written              → write
began                → begin
months               → month
preceded             → precede
described            → describe
papers               → paper
took                 → take
mingled              → mingle
accounts             → account
occurrences          → occurrence
papers               → paper
related              → relate
bears                → bear
accursed             → accurse
circumstances        → circumstance
produced             → produce
minutest             → minute
given                → give
painted              → paint
horrors              → horror
rendered             → render
sickened             → sicken
received             → receive
exclaimed            → exclaim
turned               → turn
companions           → companion
devils               → devil
abhorred             → abhor
reflections          → reflection
hours                → hour
contemplated         → contemplate
virtues              → virtue
cottagers            → cottager
dispositions         → disposition
persuaded            → persuade
acquainted           → acquaint
virtues              → virtue
solicited            → solicit
resolved             → resolve
postponed            → postpone
months               → month
longer               → long
attached             → attach
inspired             → inspire
found                → find
improved             → improve
months               → month
added                → add
changes              → change
took                 → take
diffused             → diffuse
inhabitants          → inhabitant
found                → find
greater              → great
reigned              → reign
spent                → spend
assisted             → assist
labours              → labour
servants             → servant
contented            → content
feelings             → feeling
discovered           → discover
cherished            → cherish
vanished             → vanish
reflected            → reflect
endeavoured          → endeavour
fears                → fear
months               → month
resolved             → resolve
allowed              → allow
thoughts             → thought
unchecked            → unchecke
fields               → field
dared                → dare
creatures            → creature
sympathising         → sympathise
feelings             → feeling
cheering             → cheer
countenances         → countenance
breathed             → breathe
smiles               → smile
soothed              → soothe
sorrows              → sorrow
shared               → share
thoughts             → thought
remembered           → remember
abandoned            → abandon
cursed               → curse
passed               → pass
saw                  → see
leaves               → leave
worn                 → wear
beheld               → behold
woods                → wood
better               → well
fitted               → fit
delights             → delight
flowers              → flower
birds                → bird
deserted             → desert
turned               → turn
cottagers            → cottager
decreased            → decrease
loved                → love
sympathised          → sympathise
joys                 → joy
depending            → depend
interrupted          → interrupt
casualties           → casualty
took                 → take
saw                  → see
greater              → great
yearned              → yearn
known                → know
loved                → love
creatures            → creature
looks                → look
directed             → direct
stopped              → stop
driven               → drive
asked                → ask
greater              → great
treasures            → treasure
required             → require
advanced             → advance
seasons              → season
taken                → take
awoke                → awake
directed             → direct
introducing          → introduce
protectors           → protector
revolved             → revolve
projects             → project
fixed                → fix
beheld               → behold
thought              → think
children             → child
means                → mean
tolerated            → tolerate
younger              → young
protectors           → protector
shone                → shine
leaves               → leave
strewed              → strew
denied               → deny
departed             → depart
left                 → leave
children             → child
departed             → depart
took                 → take
played               → play
airs                 → air
heard                → hear
illuminated          → illuminate
continued            → continue
succeeded            → succeed
laying               → lay
absorbed             → absorb
hopes                → hope
fears                → fear
servants             → servant
gone                 → go
proceeded            → proceed
limbs                → limb
failed               → fail
sank                 → sink
rose                 → rise
exerting             → exert
removed              → remove
planks               → plank
placed               → place
revived              → revive
renewed              → renew
approached           → approach
knocked              → knock
said                 → say
entered              → enter
said                 → say
minutes              → minute
said                 → say
wants                → want
children             → child
sat                  → sit
ensued               → ensue
knew                 → know
remained             → remain
addressed            → address
stranger             → strange
educated             → educate
going                → go
friends              → friend
hopes                → hope
germans              → german
seen                 → see
fears                → fear
hearts               → heart
men                  → man
unprejudiced         → unprejudice
hopes                → hope
friends              → friend
creatures            → creature
prejudiced           → prejudice
dispositions         → disposition
clouds               → cloud
eyes                 → eye
terrors              → terror
friends              → friend
months               → month
habits               → habit
friends              → friend
paused               → pause
continued            → continue
particulars          → particular
undeceiving          → undeceive
words                → word
persuades            → persuade
driven               → drive
creatures            → creature
condemned            → condemn
misfortunes          → misfortune
best                 → good
lips                 → lip
heard                → hear
directed             → direct
assures              → assure
friends              → friend
names                → name
friends              → friend
paused               → pause
thought              → think
struggled            → struggle
destroyed            → destroy
remaining            → remain
sank                 → sink
sobbed               → sob
heard                → hear
steps                → step
younger              → young
protectors           → protector
seizing              → seize
cried                → cry
friends              → friend
exclaimed            → exclaim
opened               → open
entered              → enter
beholding            → behold
fainted              → faint
rushed               → rush
darted               → dart
tore                 → tear
knees                → knee
dashed               → dash
struck               → strike
torn                 → tear
rends                → rend
sank                 → sink
refrained            → refrain
saw                  → see
repeating            → repeat
quitted              → quit
escaped              → escape
unperceived          → unperceive
bestowed             → bestow
taken                → take
feelings             → feeling
destroyed            → destroy
inhabitants          → inhabitant
glutted              → glut
shrieks              → shriek
came                 → come
quitted              → quit
wandered             → wander
longer               → long
restrained           → restrain
gave                 → give
howlings             → howling
broken               → break
toils                → toil
destroying           → destroy
objects              → object
obstructed           → obstruct
ranging              → range
passed               → pass
stars                → star
shone                → shine
trees                → tree
waved                → wave
branches             → branch
bore                 → bear
finding              → find
wished               → wish
trees                → tree
sat                  → sit
enjoyed              → enjoy
fatigued             → fatigue
sank                 → sink
myriads              → myriad
men                  → man
existed              → exist
enemies              → enemy
declared             → declare
everlasting          → everlaste
species              → specie
formed               → form
sent                 → send
rose                 → rise
heard                → hear
voices               → voice
men                  → man
knew                 → know
hid                  → hide
determining          → determine
ensuing              → ensue
hours                → hour
restored             → restore
considered           → consider
passed               → pass
believing            → believe
conclusions          → conclusion
acted                → act
interested           → interest
exposed              → expose
children             → child
familiarised         → familiarise
degrees              → degree
discovered           → discover
prepared             → prepare
errors               → error
resolved             → resolve
representations      → representation
thoughts             → thought
calmed               → calm
sank                 → sink
visited              → visit
dreams               → dream
preceding            → precede
acting               → act
eyes                 → eye
females              → female
flying               → fly
tearing              → tear
feet                 → foot
awoke                → awake
exhausted            → exhaust
finding              → find
crept                → creep
went                 → go
appeased             → appease
directed             → direct
steps                → step
known                → know
conducted            → conduct
crept                → creep
remained             → remain
arose                → arise
passed               → pass
mounted              → mount
heavens              → heaven
cottagers            → cottager
trembled             → tremble
apprehending         → apprehend
heard                → hear
countrymen           → countryman
passed               → pass
pausing              → pause
entered              → enter
gesticulations       → gesticulation
said                 → say
spoke                → speak
differed             → differ
protectors           → protector
approached           → approach
knew                 → know
quitted              → quit
waited               → wait
appearances          → appearance
said                 → say
obliged              → oblige
months               → month
days                 → day
replied              → reply
greatest             → great
owing                → owe
related              → relate
trembled             → tremble
said                 → say
entered              → enter
remained             → remain
minutes              → minute
departed             → depart
saw                  → see
continued            → continue
protectors           → protector
departed             → depart
broken               → break
held                 → hold
feelings             → feeling
filled               → fill
allowing             → allow
borne                → bear
bent                 → bend
thought              → think
friends              → friend
eyes                 → eye
thoughts             → thought
vanished             → vanish
tears                → tear
soothed              → soothe
reflected            → reflect
spurned              → spurn
deserted             → desert
returned             → return
turned               → turn
objects              → object
placed               → place
combustibles         → combustible
destroyed            → destroy
waited               → wait
forced               → force
sunk                 → sink
operations           → operation
advanced             → advance
arose                → arise
woods                → wood
dispersed            → disperse
clouds               → cloud
loitered             → loiter
heavens              → heaven
tore                 → tear
produced             → produce
spirits              → spirit
bounds               → bound
lighted              → light
danced               → dance
eyes                 → eye
fixed                → fix
touched              → touch
waved                → wave
sank                 → sink
fired                → fire
bushes               → bush
collected            → collect
fanned               → fan
enveloped            → envelop
flames               → flame
licked               → lick
destroying           → destroy
tongues              → tongue
quitted              → quit
sought               → seek
woods                → wood
steps                → step
resolved             → resolve
misfortunes          → misfortune
hated                → hate
despised             → despise
crossed              → cross
learned              → learn
papers               → paper
given                → give
lessons              → lesson
bestowed             → bestow
omitted              → omit
learned              → learn
situations           → situation
countries            → country
mentioned            → mention
resolved             → resolve
knew                 → know
names                → name
towns                → town
felt                 → feel
unfeeling            → unfeele
endowed              → endow
perceptions          → perception
passions             → passion
determined           → determine
attempted            → attempt
wore                 → wear
travels              → travel
sufferings           → suffering
endured              → endure
quitted              → quit
resided              → reside
travelled            → travel
encountering         → encounter
decayed              → decay
poured               → pour
rivers               → river
found                → find
curses               → curse
fled                 → flee
turned               → turn
approached           → approach
enkindled            → enkindle
fell                 → fall
waters               → water
hardened             → harden
rested               → rest
incidents            → incident
directed             → direct
possessed            → possess
wandered             → wander
feelings             → feeling
allowed              → allow
occurred             → occur
happened             → happen
arrived              → arrive
confines             → confine
recovered            → recover
began                → begin
confirmed            → confirm
feelings             → feeling
rested               → rest
travelled            → travel
secured              → secure
finding              → find
lay                  → lie
ventured             → venture
risen                → rise
cheered              → cheer
felt                 → feel
emotions             → emotion
appeared             → appear
sensations           → sensation
allowed              → allow
borne                → bear
forgetting           → forget
dared                → dare
tears                → tear
bedewed              → bedew
cheeks               → cheek
raised               → raise
eyes                 → eye
blessed              → bless
bestowed             → bestow
continued            → continue
paths                → path
came                 → come
skirted              → skirt
trees                → tree
bent                 → bend
branches             → branch
budding              → bud
paused               → pause
knowing              → know
heard                → hear
voices               → voice
induced              → induce
hid                  → hide
running              → run
concealed            → conceal
laughing             → laugh
ran                  → run
continued            → continue
sides                → side
slipped              → slip
fell                 → fall
rushed               → rush
saved                → save
dragged              → drag
endeavoured          → endeavour
means                → mean
interrupted          → interrupt
fled                 → flee
seeing               → see
darted               → dart
tearing              → tear
arms                 → arm
hastened             → hasten
deeper               → deep
parts                → part
followed             → follow
knew                 → know
saw                  → see
aimed                → aim
carried              → carry
fired                → fire
sank                 → sink
escaped              → escape
saved                → save
writhed              → writhe
shattered            → shatter
feelings             → feeling
entertained          → entertain
moments              → moment
gave                 → give
teeth                → tooth
inflamed             → inflame
vowed                → vow
overcame             → overcome
pulses               → pulse
paused               → pause
fainted              → faint
weeks                → week
led                  → lead
woods                → wood
endeavouring         → endeavour
received             → receive
entered              → enter
knew                 → know
remained             → remain
passed               → pass
means                → mean
extracting           → extract
sufferings           → suffering
augmented            → augment
vows                 → vow
rose                 → rise
outrages             → outrage
endured              → endure
weeks                → week
healed               → heal
continued            → continue
labours              → labour
endured              → endure
longer               → long
alleviated           → alleviate
breezes              → breeze
insulted             → insult
toils                → toil
drew                 → draw
months               → month
reached              → reach
environs             → environ
arrived              → arrive
retired              → retire
fields               → field
oppressed            → oppress
breezes              → breeze
setting              → set
mountains            → mountain
relieved             → relieve
disturbed            → disturb
running              → run
chosen               → choose
gazed                → gaze
seized               → seize
lived                → live
imbibed              → imbibe
peopled              → people
urged                → urge
seized               → seize
passed               → pass
drew                 → draw
beheld               → behold
placed               → place
hands                → hand
eyes                 → eye
uttered              → utter
drew                 → draw
said                 → say
struggled            → struggle
cried                → cry
pieces               → piece
sworn                → swear
struggled            → struggle
loaded               → load
epithets             → epithet
carried              → carry
grasped              → grasp
lay                  → lie
feet                 → foot
gazed                → gaze
swelled              → swell
clapping             → clap
hands                → hand
exclaimed            → exclaim
miseries             → misery
fixed                → fix
eyes                 → eye
saw                  → see
glittering           → glitter
took                 → take
softened             → soften
attracted            → attract
moments              → moment
gazed                → gaze
eyes                 → eye
fringed              → fringe
lashes               → lash
lips                 → lip
returned             → return
remembered           → remember
deprived             → deprive
delights             → delight
creatures            → creature
contemplated         → contemplate
changed              → change
thoughts             → thought
transported          → transport
venting              → vent
sensations           → sensation
exclamations         → exclamation
feelings             → feeling
left                 → leave
committed            → commit
seeking              → seek
entered              → enter
appeared             → appear
sleeping             → sleep
held                 → hold
blooming             → bloom
thought              → think
imparting            → impart
smiles               → smile
bestowed             → bestow
bent                 → bend
whispered            → whisper
fairest              → fair
eyes                 → eye
stirred              → stir
ran                  → run
darkened             → darken
eyes                 → eye
opened               → open
beheld               → behold
stirred              → stir
committed            → commit
robbed               → rob
thanks               → thank
lessons              → lesson
laws                 → law
learned              → learn
bent                 → bend
placed               → place
folds                → fold
moved                → move
fled                 → flee
days                 → day
haunted              → haunt
scenes               → scene
taken                → take
wishing              → wish
resolved             → resolve
miseries             → misery
wandered             → wander
mountains            → mountain
ranged               → range
recesses             → recess
consumed             → consume
promised             → promise
deformed             → deform
species              → specie
defects              → defect
finished             → finish
speaking             → speak
fixed                → fix
looks                → look
ideas                → idea
continued            → continue
sympathies           → sympathy
kindled              → kindle
died                 → die
narrated             → narrate
cottagers            → cottager
said                 → say
longer               → long
burned               → burn
replied              → reply
men                  → man
eyes                 → eye
answered             → answer
replied              → reply
threatening          → threaten
shunned              → shun
hated                → hate
pieces               → piece
pities               → pity
rifts                → rift
hands                → hand
condemns             → condemn
tears                → tear
senses               → sense
barriers             → barrier
injuries             → injury
animated             → animate
said                 → say
wrinkled             → wrinkle
contortions          → contortion
eyes                 → eye
calmed               → calm
proceeded            → proceed
intended             → intend
felt                 → feel
emotions             → emotion
dreams               → dream
realised             → realise
monsters             → monster
attached             → attach
lives                → life
existing             → exist
moved                → move
shuddered            → shudder
thought              → think
consequences         → consequence
felt                 → feel
feelings             → feeling
expressed            → express
proved               → prove
sensations           → sensation
saw                  → see
continued            → continue
wilds                → wild
acorns               → acorn
berries              → berry
dried                → dry
leaves               → leave
eyes                 → eye
replied              → reply
habitations          → habitation
wilds                → wild
beasts               → beast
companions           → companion
passions             → passion
renewed              → renew
feelings             → feeling
moved                → move
representations      → representation
complaints           → complaint
places               → place
passions             → passion
fled                 → flee
dying                → die
moments              → moment
words                → word
compassionated       → compassionate
felt                 → feel
looked               → look
saw                  → see
moved                → move
talked               → talk
sickened             → sicken
feelings             → feeling
altered              → alter
tried                → try
sensations           → sensation
thought              → think
said                 → say
shown                → show
affording            → afford
wider                → wide
trifled              → trifle
ties                 → tie
affections           → affection
crimes               → crime
vices                → vice
children             → child
forced               → force
virtues              → virtue
affections           → affection
linked               → link
events               → event
excluded             → exclude
paused               → pause
related              → relate
arguments            → argument
employed             → employ
thought              → think
virtues              → virtue
displayed            → display
protectors           → protector
manifested           → manifest
threats              → threat
omitted              → omit
calculations         → calculation
caves                → cave
glaciers             → glacier
ridges               → ridge
precipices           → precipice
possessing           → possess
faculties            → faculty
concluded            → conclude
creatures            → creature
demanded             → demand
turning              → turn
said                 → say
hands                → hand
cried                → cry
burns                → burn
labours              → labour
saying               → say
quitted              → quit
sentiments           → sentiment
saw                  → see
greater              → great
lost                 → lose
undulations          → undulation
occupied             → occupy
departed             → depart
knew                 → know
encompassed          → encompass
steps                → step
paths                → path
fixing               → fix
feet                 → foot
advanced             → advance
perplexed            → perplex
occupied             → occupy
emotions             → emotion
occurrences          → occurrence
produced             → produce
came                 → come
seated               → seat
stars                → star
shone                → shine
intervals            → interval
clouds               → cloud
passed               → pass
pines                → pine
rose                 → rise
lay                  → lie
stirred              → stir
thoughts             → thought
wept                 → weep
clasping             → clasp
hands                → hand
exclaimed            → exclaim
stars                → star
clouds               → cloud
winds                → wind
thoughts             → thought
stars                → star
weighed              → weigh
listened             → listen
dawned               → dawn
arrived              → arrive
took                 → take
returned             → return
sensations           → sensation
weighed              → weigh
destroyed            → destroy
returned             → return
entering             → enter
presented            → present
awoke                → awake
answered             → answer
felt                 → feel
placed               → place
sympathies           → sympathy
loved                → love
resolved             → resolve
abhorred             → abhor
thought              → think
passed               → pass
feared               → fear
enjoined             → enjoin
found                → find
devoting             → devote
months               → month
heard                → hear
discoveries          → discovery
thought              → think
obtaining            → obtain
shrank               → shrink
taking               → take
began                → begin
taken                → take
declined             → decline
restored             → restore
spirits              → spirit
unchecked            → unchecke
rose                 → rise
saw                  → see
turned               → turn
thoughts             → thought
best                 → good
eradicating          → eradicate
remains              → remain
fits                 → fit
approaching          → approach
moments              → moment
took                 → take
passed               → pass
days                 → day
watching             → watch
clouds               → cloud
listening            → listen
waves                → wave
failed               → fail
met                  → meet
salutations          → salutation
friends              → friend
rambles              → ramble
calling              → call
addressed            → address
resumed              → resume
pleasures            → pleasure
returning            → return
lost                 → lose
struck               → strike
founded              → found
trembled             → tremble
continued            → continue
looked               → look
declining            → decline
years                → year
attached             → attach
earliest             → early
studied              → study
appeared             → appear
dispositions         → disposition
tastes               → taste
conceived            → conceive
best                 → good
assistants           → assistant
destroyed            → destroy
met                  → meet
considering          → consider
bound                → bind
saw                  → see
excited              → excite
warmest              → warm
hopes                → hope
prospects            → prospect
bound                → bind
sentiments           → sentiment
gives                → give
events               → event
appears              → appear
taken                → take
events               → event
drawn                → draw
befitting            → befit
years                → year
infirmities          → infirmity
younger              → young
possessed            → possess
plans                → plan
formed               → form
words                → word
listened             → listen
remained             → remain
offering             → offer
revolved             → revolve
thoughts             → thought
endeavoured          → endeavour
bound                → bind
fulfilled            → fulfil
dared                → dare
miseries             → misery
hanging              → hang
bowing               → bow
allowed              → allow
expected             → expect
remembered           → remember
imposed              → impose
journeying           → journey
entering             → enter
philosophers         → philosopher
discoveries          → discovery
obtaining            → obtain
desired              → desire
engaging             → engage
habits               → habit
loved                → love
